strategy_name,strategy_label,period_start,period_end,period_label,initial_cash,final_equity,total_return_pct,sharpe_ratio,max_drawdown_pct,order_count,filled_order_count,hs300_etf_return_pct,alpha_vs_hs300_etf_pct,csi_baijiu_lof_return_pct,alpha_vs_csi_baijiu_lof_pct
weak_reversal,Weak reversal,2020-12-31,2021-12-31,2021,1000000.0,1301607.0,30.160699999999995,0.8278572987667003,37.04301686093368,2409,2409,-5.277094760733869,35.437794760733865,-8.292443572129537,38.453143572129534
tf_reversal,Trend-filtered reversal,2020-12-31,2021-12-31,2021,1000000.0,1185469.0,18.54690000000001,0.6204022710946093,35.34955216532961,1969,1967,-5.277094760733869,23.823994760733882,-8.292443572129537,26.83934357212955
weak_reversal,Weak reversal,2021-12-31,2022-06-30,2022H1,1000000.0,999952.0,-0.0048000000000048,0.21162464866500527,30.999299999999998,1163,1163,-9.984025559105437,9.979225559105432,-1.826798134984331,1.8219981349843262
tf_reversal,Trend-filtered reversal,2021-12-31,2022-06-30,2022H1,1000000.0,1211514.0,21.1514,1.1411344340065455,22.14475778285072,921,921,-9.984025559105437,31.135425559105435,-1.826798134984331,22.97819813498433
